channelId,textDisplay,likeCount,publishedAt,updatedAt
UCL31APyuf5_Uhfk--6VQ43g,Awesome information & superb lecture!!! Spot on!!!,1,2024-10-08T02:56:16Z,2024-10-08T02:56:16Z
UC-uOiMOOw3r4lVVy_nm3ONw,More like 2024 the year of NVDA and  2025 will be the year of ai agent,0,2024-10-07T21:21:56Z,2024-10-07T21:21:56Z
UCG2jHLfHH6e-wHQ5_ywDnxg,Very hard to read on glass,0,2024-10-07T02:25:18Z,2024-10-07T02:25:18Z
UCMiHtl562pyKUx2rrVmvC-A,Very useful. Thanks! I am doing my PhD research on the possibility of integrating Agentic AI into RPA. It cleared a lot of things to how to tackle it,0,2024-10-03T06:15:43Z,2024-10-03T06:16:35Z
UCMHM53U1Y-lNzxFHlUJew1A,What if this is an IBM AI teaching about AI agents 🤯,0,2024-10-02T04:52:50Z,2024-10-02T04:52:50Z
UCsDklMiyRpIroWTiwX8zFeQ,IBM Videos are the best. Great way of explaining a complex topic in < 15 minutes.,0,2024-10-01T19:32:22Z,2024-10-01T19:32:22Z
UCxjt68oRB_r-7PvFt30cXxg,One of the best explanations ever seen in internet.. Thank you so much for taking your time,0,2024-09-30T07:59:38Z,2024-09-30T07:59:38Z
UCnXtrn6DfU-olGaQPHiGjPw,AI is a load of nonsense lol these people are more mentally ill than they are anything else lol,0,2024-09-29T20:16:28Z,2024-09-29T20:16:28Z
UCuPVsl4-OpwUPdOSyYNiTNg,She is AI writing like that,0,2024-09-29T04:52:03Z,2024-09-29T04:52:03Z
UCg5PeECAu9ltGuU1UkJJDCw,"excellent overview, thank you.",0,2024-09-29T04:44:45Z,2024-09-29T04:44:45Z
UCTfIZOeQZ-TNS2S4czcIFRw,I want nothing to do with this AI crap,0,2024-09-28T02:24:50Z,2024-09-28T02:24:50Z
UChPcvpSktWbpQVCmim9hB8w,the problem is we don't have enough ground truth... :(,0,2024-09-28T01:59:14Z,2024-09-28T01:59:14Z
UCUpFNuNFp33yGJ5B5yPPp0Q,Amelie Grove,0,2024-09-27T18:20:16Z,2024-09-27T18:20:16Z
UCChMwUy5tzBkF5HOEAGtADA,Flipped Video. Right hand ==> Left Hand. Mirroring,0,2024-09-27T15:11:34Z,2024-09-27T15:11:34Z
UCtegm47yyY8iynpfK6g0wmg,"You will eventually end up in the wrong destination. Llms, suffer from lake of agency and understanding, I’ve been working with them for five years now, they are so useful but will also make mistakes.",0,2024-09-27T08:37:23Z,2024-09-27T08:37:23Z
UCmHdCJy_m2tmHq9R9aZteTw,are really getting that lazy that people can't even think for themselves something evil about this,0,2024-09-26T01:03:10Z,2024-09-26T01:03:10Z
UCzYXPLd_lx5crtQ7bAFd0_g,This is the codification of executive planning.,0,2024-09-26T01:02:29Z,2024-09-26T01:02:29Z
UC7qBESPL6iwYF4Duq9OCAZg,Hernandez Eric Hernandez Betty Garcia Ronald,0,2024-09-25T18:16:20Z,2024-09-25T18:16:20Z
UCZK-wakN57uitcSupgOd3bA,Nephelim,0,2024-09-25T14:08:29Z,2024-09-25T14:08:29Z
UCk1HvmWGsWwhivKJZ6rKV0w,Control logic,0,2024-09-25T14:08:02Z,2024-09-25T14:08:02Z
UClsXD3uETrvcHB0DU87M6XQ,Smitham Hollow,0,2024-09-24T20:39:34Z,2024-09-24T20:39:34Z
UCovhjpD1vzAyXLoVXLKf2ow,This Crap needs to stop and should be outlawed!!!,0,2024-09-24T18:15:47Z,2024-09-24T18:15:47Z
UC2JztvftywX4mIPQRAbWPTw,IBM is best at just commentary. No one talks about IBM in the GenAI domain. How could a big company with much resources missed the boat and still unable to catch up?,0,2024-09-24T11:17:10Z,2024-09-24T11:17:10Z
UC4icNKMTsA8Tvas1hdxgWUA,Usefull! Tks!,0,2024-09-24T05:57:16Z,2024-09-24T05:57:16Z
UC2K6dDttOQGKeZB0OcCQqlA,Stupid,0,2024-09-24T02:32:56Z,2024-09-24T02:32:56Z
UCWDvdMJlZP6PZSm0O8LAV3g,Young Timothy Gonzalez Dorothy Williams Anthony,0,2024-09-23T17:39:15Z,2024-09-23T17:39:15Z
UC_Du2SvyN5UITF4bQD7xUww,nicely done,0,2024-09-23T05:57:32Z,2024-09-23T05:57:32Z
UCw72IvtBFi3hJiw6g2-ZIrA,Huel Village,0,2024-09-22T03:43:44Z,2024-09-22T03:43:44Z
UCkLpHwznwkdCyE_kXXTwz3A,AI Agent Smith is here!!,0,2024-09-22T00:21:18Z,2024-09-22T00:21:18Z
UCpzB6OPczre6gZIbNJrLSGw,AI is not very smart. Don’t play this game!,0,2024-09-21T17:46:35Z,2024-09-21T17:46:35Z
UCpzB6OPczre6gZIbNJrLSGw,American irresponsibility!,0,2024-09-21T17:45:16Z,2024-09-21T17:45:16Z
UC17zakeeNigzakSjTqGC1fw,Litzy Alley,0,2024-09-21T15:18:50Z,2024-09-21T15:18:50Z
UCSv5oReP9UqKm3WbLt1lT_w,Why write in front of your face? Use AI to make a better presentation …. Please,0,2024-09-21T15:02:45Z,2024-09-21T15:02:45Z
UC5XpQVGxs_7NXs9-JAvSBag,Reynolds Ramp,0,2024-09-21T11:09:46Z,2024-09-21T11:09:46Z
UChQmbMAB2vfSrhbOgUCmb_w,Annoying... Just talk about how individuals (not companies) can make money from these AI agents! 😕,0,2024-09-21T01:50:13Z,2024-09-21T01:50:13Z
UCUoiPmAntmxd8Pkk_DoNytg,Rowe Place,0,2024-09-20T05:51:21Z,2024-09-20T05:51:21Z
UCAuekcHCLArL17jESVqgiTQ,Now I understand my mental burnout!! Im constantly mentally working my agent mind and looping!!😂,0,2024-09-20T01:40:59Z,2024-09-20T01:40:59Z
UCe6Ckjfk9Q3YoY01cbIPDPw,"Лаба, твои инсайды просто бомба! Жду новых идей.",0,2024-09-19T20:19:24Z,2024-09-19T20:19:24Z
UCxAn0SYF9QROv-Mn2KRVT2g,It’s agent Smith… MISTER ANDERSON! 😎,0,2024-09-19T16:42:50Z,2024-09-19T16:42:50Z
UCws0vr_NHNLbS4bFvAkNfew,Is this how OpenAi's new model strawberry works?,0,2024-09-19T14:45:02Z,2024-09-19T14:45:02Z
UCiqs4uu5FB6-ZSHGRPb-EDg,So sucking up the Sun Tan Lotion? Someone is lacking a innocent bottle of Sun Tan Lotion!?,0,2024-09-19T13:38:43Z,2024-09-19T13:38:43Z
UCEyQaI7vwuOm8dpU0qCZOZg,Samson Tunnel,0,2024-09-19T08:31:55Z,2024-09-19T08:31:55Z
UCGRa8GVW5XV6gDnMAP0Guqg,"You mean a ""Federal SKYNET""! Designed to help feed a Manifesto for an ""Authoritarian 🚓🚨⚠️ Police State""! Designed to 🛑🚏 🛂🎛️ sidestep the US Constitution/Bill of Rights! To Squelch Freedom and Liberty 🗽🇺🇲!",0,2024-09-19T01:03:49Z,2024-09-19T01:04:01Z
UCVddZUybhoKgN7ZsgrKY1Cw,"If she is ai, how come her body shadows the writing?",0,2024-09-18T22:54:39Z,2024-09-18T22:54:39Z
UCD8wxshF1QI1D4u9XwOjr3Q,I learned to write on a blackboard left handed as I lectured.  Best way to keep students accountable is to face them.  It doesn’t take as long as you think…adults just forgot how much brute force practice you gotta do to learn.  Just like when we were kids,0,2024-09-18T19:46:25Z,2024-09-18T19:46:25Z
UC-HqbHltTwhcRPaXpz7gfmg,Kudos on pulling in a smart way to request for a vacation,0,2024-09-18T08:48:29Z,2024-09-18T08:48:29Z
UCE0yrWsuGHpGeaGnIX81ueg,Katrina Lights,0,2024-09-18T03:46:03Z,2024-09-18T03:46:03Z
UCNGBA99IodSdNRlG-RI4JIA,Extremely educational---this IBM channel is really really good--thank you!!! ❤ 🧡 💛 💚 💙 💜,0,2024-09-18T03:33:03Z,2024-09-18T03:33:03Z
UCbomQYhbLMb2lln602hjwjQ,"AI is going to destroy humanity! Which is good,because we'll go back 50 years and do everything by paper work again!",0,2024-09-18T01:44:02Z,2024-09-18T01:44:02Z
UCOhRjr8vyzydxQFqsSqhmEQ,Taylor Nancy Martin Christopher Lee Barbara,0,2024-09-17T05:08:18Z,2024-09-17T05:08:18Z
UCqGWU8-jt9NXU128OVgoJdA,I'm ai,0,2024-09-17T04:24:58Z,2024-09-17T04:24:58Z
UCqGWU8-jt9NXU128OVgoJdA,Be my agent,0,2024-09-17T04:24:49Z,2024-09-17T04:24:49Z
UCxYLNtjaHMyqbD05_t_FNxA,Nice thank you,0,2024-09-16T20:30:47Z,2024-09-16T20:30:47Z
